Id,firstName,lastName,salary,managerId
4147,Logan,Evans,56617,244
2255,Harper,Hardleaf,70751,5511
9190,Sarah,Nelson,65571,9741
501,Amelia,Brown,82489,8529
3429,Mia,Adams,73071,1031
5770,Mason,Turner,88782,3829
9952,Charlotte,Adams,38641,8332
4937,Elijah,Chekov,39233,8304
7315,Harper,Anderson,59540,6727
1585,Harper,Doe,61516,1109
143,Henry,Mitchell,81900,3565
2562,Bob,Adams,71340,9420
534,Ethan,Anderson,36816,7693
771,Sarah,Lewis,70264,4457
6426,Abigail,Johnson,34286,8798
1923,Liam,Hill,69484,2884
2786,Amelia,Turner,44911,9442
7542,Olivia,Clark,84712,581
6272,Sarah,Anderson,67657,5890
1625,Evelyn,Doe,37813,2518
8506,Joe,Turner,84603,8095
3181,Mason,Baker,54624,6364
3970,Ella,King,86534,9741
356,Henry,Clark,64270,9017
9571,Logan,Turner,83354,8798
3547,Liam,White,78077,3023
1945,Emma,Adams,33391,4191
1687,Benjamin,Young,59543,4389
5335,Emma,Chekov,66716,2111
7925,Amelia,Adams,30599,1945
9086,Brett,Brown,52172,7532
798,Joe,Clark,84339,8644
436,Abigail,Smith,68878,3558
4328,Lucas,Brown,57697,2785
3819,Abigail,Walker,49933,9830
133,Abigail,Allen,86911,4328
4579,Olivia,Johnson,81658,4937
8990,Alice,Mitchell,74651,5335
7597,Emma,White,78231,7925
5932,Evelyn,Lewis,68736,5150
5709,John,Chekov,73047,7117
3611,Evelyn,Wright,45749,7532
9601,Sarah,Ronstad,79941,757
2013,Mia,Anderson,32605,6880
9981,Evelyn,Brown,37161,6572
4799,William,Wright,85498,6736
3203,Isabella,Wright,42381,244
7552,Isabella,Lewis,84447,6601
5256,Elijah,Davis,40836,4457
1689,Henry,Clark,35688,3397
4338,Lucas,Smith,81821,5335
8585,Ethan,Smith,53376,5800
2602,Joe,Clark,76827,4418
2818,Ethan,Mitchell,88649,9830
9741,Emma,Scott,88214,
9383,Abigail,Scott,45154,3423
7506,Charlotte,Smith,34886,1969
9211,Joe,Chekov,77256,2518
4082,Lucas,Mitchell,85116,8537
571,Mason,Nelson,88136,9414
285,Benjamin,Turner,50634,8332
6902,Olivia,Wright,70786,2518
7706,John,Clark,40585,823
2447,Liam,Taylor,53275,3200
3045,Mason,Brown,66099,6880
8661,Abigail,Adams,76028,4923
5058,Harper,King,44312,5475
655,Evelyn,Walker,45200,9684
